Phase,Kind,Evidence,Method,Start_UTC,End_UTC,Duration_h,IPA_loss_g,Water_loss_g,Total_loss_g,Segment
1,pre_measurement_loss,assumed,user_entered_total_loss,2026-09-07T09:08:25.839000+00:00,2026-09-07T09:08:25.839000+00:00,0.0,0.07692063753813369,1.9230793624618663,2.0,
1,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T09:08:25.839000+00:00,2026-09-07T09:34:25.865000+00:00,0.43334055555555556,0.27429621706283175,0.6416559925626548,0.9159522096254866,1.0
2,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T09:34:25.865000+00:00,2026-09-07T09:53:08.224000+00:00,0.31176638888888886,0.19734211345607236,0.46163870227587783,0.6589808157319502,
2,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T09:53:08.224000+00:00,2026-09-07T10:21:08.252000+00:00,0.46667444444444445,0.29966937635936963,0.5054421777758377,0.8051115541352073,1.0
3,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T10:21:08.252000+00:00,2026-09-07T10:38:16.054000+00:00,0.28550055555555554,0.18333074470241734,0.3092177518483986,0.49254849655081595,
3,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T10:38:16.054000+00:00,2026-09-07T11:14:16.090999999+00:00,0.6000102777777777,0.326914982332169,0.9307154667733263,1.2576304491054953,1.0
4,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T11:14:16.091000+00:00,2026-09-07T12:27:11.178000+00:00,1.2153019444444446,0.6621560136732392,1.8851349024942223,2.5472909161674613,
4,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T12:27:11.178000+00:00,2026-09-07T12:53:11.205000+00:00,0.43334083333333334,0.22869076983476783,2.753111288441672,2.9818020582764397,1.0
5,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T12:53:11.205000+00:00,2026-09-07T13:05:37.066000+00:00,0.2071836111111111,0.10933882957136624,1.3162838455413872,1.4256226751127534,
5,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T13:05:37.066000+00:00,2026-09-07T13:33:37.095000+00:00,0.4666747222222222,0.7674131101039278,0.2474925973131171,1.0149057074170449,1.0
6,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T13:33:37.095000+00:00,2026-09-07T13:45:37.732000+00:00,0.20017694444444442,0.3291766281569926,0.1061602644061101,0.4353368925631027,
6,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T13:45:37.732000+00:00,2026-09-07T14:07:37.754000+00:00,0.36667277777777774,0.6374694126423008,0.8160896827169919,1.4535590953592927,1.0
7,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T14:07:37.754000+00:00,2026-09-07T14:18:56.831000+00:00,0.1886325,0.3279421224259109,0.41983219481978845,0.7477743172456994,
7,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T14:18:56.831000+00:00,2026-09-07T14:40:56.853000+00:00,0.36667277777777774,0.40727539818799796,0.25403733438567627,0.6613127325736743,1.0
8,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T14:40:56.853000+00:00,2026-09-07T14:49:42.895000+00:00,0.1461227777777778,0.16230332904573627,0.10123642443452453,0.2635397534802608,
8,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T14:49:42.895000+00:00,2026-09-07T15:07:42.913000+00:00,0.300005,0.33879770694223044,0.41545879011069115,0.7542564970529215,1.0
9,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T15:07:42.913000+00:00,2026-09-07T15:15:17.777000+00:00,0.1263511111111111,0.14268917756053204,0.17497601623760844,0.3176651937981405,
9,insufficient_phase,assumed,previous_fitted_terminal_rates,2026-09-07T15:15:17.777000+00:00,2026-09-07T15:29:17.792000+00:00,0.2333375,0.263509641318087,0.32313499920819116,0.5866446405262782,
